GEOID,county_name,total_population,equity_need_score,commute_burden_score,is_transit_desert,transit_access_index,median_household_income,predicted_burden_score,high_priority_flag
06013315000,Contra Costa,3772,0.4674,0.0853,0,0.0005878149903768,94737,0.1455,1
06013347000,Contra Costa,6724,0.3139,0.1878,1,0.0,237976,0.1713,1
06013350000,Contra Costa,6150,0.2893,0.1273,0,0.0343554864370718,216875,0.1236,0
06013359102,Contra Costa,5061,0.5318,0.301,1,0.0,114129,0.1961,1
06013362000,Contra Costa,2832,0.4575,0.1439,1,0.0,112344,0.1703,1
06013379000,Contra Costa,8383,0.5162,0.0923,0,0.0363170735187915,64518,0.1366,1
06013382000,Contra Costa,8477,0.5716,0.198,0,0.0584555795077014,56378,0.1463,1
06013388000,Contra Costa,2711,0.3673,0.0678,0,0.2116381383653946,116250,0.1146,0
06013389100,Contra Costa,2455,0.3273,0.0751,0,0.5189372383553572,108333,0.1297,1
06013389200,Contra Costa,1955,0.4349,0.1198,0,0.3641066423237463,85000,0.1042,0
06013390100,Contra Costa,2225,0.3469,0.1504,0,0.0074007163951711,174000,0.1351,1
06013390200,Contra Costa,1820,0.2927,0.1441,0,0.2004233889183322,183611,0.1285,0
06013333200,Contra Costa,5866,0.4505,0.1766,1,0.0,122700,0.1795,1
06013334001,Contra Costa,3960,0.4461,0.1146,1,0.0,110500,0.1284,0
06085503123,Santa Clara,3777,0.5213,0.0761,1,0.0,57772,0.0985,0
06013335000,Contra Costa,3612,0.3506,0.1746,0,0.2344425326299612,150398,0.1731,1
06013336101,Contra Costa,4438,0.5024,0.143,0,0.1279809763911932,79554,0.179,1
06013338201,Contra Costa,4019,0.3114,0.1314,1,0.0,199773,0.1118,0
06013338301,Contra Costa,2910,0.3317,0.1788,1,0.0,204196,0.1279,0
06013311000,Contra Costa,5392,0.5005,0.1587,0,0.2181348078588191,74667,0.1949,1
06013312000,Contra Costa,2818,0.6419,0.3176,0,0.0254037203016848,49125,0.2063,1
06013368002,Contra Costa,4102,0.5867,0.2144,1,0.0,61855,0.1395,1
06075017700,San Francisco,2080,0.2128,0.1099,0,0.7,156806,0.1061,0
06013371000,Contra Costa,5776,0.531,0.212,1,0.0,94729,0.2029,1
06013345101,Contra Costa,6622,0.3485,0.1486,1,0.0,173388,0.0878,0
06013345102,Contra Costa,4533,0.3323,0.1492,1,0.0,186632,0.0903,0
06013352201,Contra Costa,6070,0.3134,0.0799,1,0.0,173828,0.1305,1
06013353002,Contra Costa,4182,0.2376,0.0759,0,0.0396481863703147,250001,0.1145,0
06013356001,Contra Costa,4025,0.4425,0.1806,1,0.0,127662,0.1872,1
06013358000,Contra Costa,5859,0.5715,0.1969,1,0.0,68452,0.1698,1
06013990000,Contra Costa,0,0.5477,0.0999,1,0.0,-666666666,0.1004,0
06013359204,Contra Costa,4340,0.4535,0.184,1,0.0,123250,0.1471,1
06013360200,Contra Costa,5482,0.4826,0.2054,1,0.0,114583,0.1661,1
06013364002,Contra Costa,5426,0.4674,0.1688,1,0.0,113519,0.1453,1
06013366001,Contra Costa,4690,0.5223,0.1591,1,0.0,87778,0.184,1
06013313102,Contra Costa,4796,0.5771,0.3089,1,0.0,95707,0.1912,1
06013314102,Contra Costa,6912,0.5667,0.2739,1,0.0,93199,0.1903,1
06013316000,Contra Costa,1112,0.5596,0.1406,1,0.0,46528,0.1175,0
06013366002,Contra Costa,6876,0.5568,0.1945,1,0.0,77424,0.1239,0
06013367200,Contra Costa,5869,0.5383,0.2062,1,0.0,90941,0.1006,0
06001442700,Alameda,3139,0.3091,0.1142,1,0.0,191760,0.0847,0
06001442800,Alameda,3115,0.3198,0.0771,1,0.0,169310,0.1166,0
06001442900,Alameda,7780,0.3212,0.0901,1,0.0,172578,0.1032,0
06095252204,Solano,5524,0.372,0.1632,1,0.0,161974,0.1442,1
06095252203,Solano,4121,0.4116,0.1394,1,0.0,134142,0.1569,1
06095253501,Solano,5982,0.5507,0.1769,1,0.0,75402,0.1689,1
06095252205,Solano,8501,0.3991,0.2014,1,0.0,156586,0.1232,0
06095252206,Solano,5955,0.4472,0.1967,1,0.0,129914,0.1105,0
06095253207,Solano,2539,0.4674,0.1085,1,0.0,100357,0.1363,1
